Training new model from scratch......
--------------------------
Training with SEPN
--------------------------

Current training epoch: 1, learning rate for pnn: 0.001, 
| epoch = 1 | step =    10 | loss_pnn = 2.257 | loss_cn = 0.00000000 | acc_sim = 0.231 | acc_phy = 0.113 
| epoch = 1 | step =    20 | loss_pnn = 2.177 | loss_cn = 0.00000000 | acc_sim = 0.370 | acc_phy = 0.157 
| epoch = 1 | step =    30 | loss_pnn = 2.105 | loss_cn = 0.00000000 | acc_sim = 0.464 | acc_phy = 0.196 
| epoch = 1 | step =    40 | loss_pnn = 2.044 | loss_cn = 0.00000000 | acc_sim = 0.536 | acc_phy = 0.235 
| epoch = 1 | step =    50 | loss_pnn = 1.997 | loss_cn = 0.00000000 | acc_sim = 0.585 | acc_phy = 0.273 
| epoch = 1 | step =    60 | loss_pnn = 1.957 | loss_cn = 0.00000000 | acc_sim = 0.622 | acc_phy = 0.306 
| epoch = 1 | step =    70 | loss_pnn = 1.925 | loss_cn = 0.00000000 | acc_sim = 0.653 | acc_phy = 0.332 
| epoch = 1 | step =    80 | loss_pnn = 1.898 | loss_cn = 0.00000000 | acc_sim = 0.676 | acc_phy = 0.356 
| epoch = 1 | step =    90 | loss_pnn = 1.874 | loss_cn = 0.00000000 | acc_sim = 0.697 | acc_phy = 0.377 
| epoch = 1 | step =   100 | loss_pnn = 1.854 | loss_cn = 0.00000000 | acc_sim = 0.713 | acc_phy = 0.395 
| epoch = 1 | step =   110 | loss_pnn = 1.836 | loss_cn = 0.00000000 | acc_sim = 0.728 | acc_phy = 0.413 
| epoch = 1 | step =   120 | loss_pnn = 1.820 | loss_cn = 0.00000000 | acc_sim = 0.741 | acc_phy = 0.428 

Current training epoch: 2, learning rate for pnn: 0.001, 
| epoch = 2 | step =    10 | loss_pnn = 1.633 | loss_cn = 0.00000000 | acc_sim = 0.888 | acc_phy = 0.595 
| epoch = 2 | step =    20 | loss_pnn = 1.627 | loss_cn = 0.00000000 | acc_sim = 0.891 | acc_phy = 0.612 
| epoch = 2 | step =    30 | loss_pnn = 1.624 | loss_cn = 0.00000000 | acc_sim = 0.891 | acc_phy = 0.618 
| epoch = 2 | step =    40 | loss_pnn = 1.621 | loss_cn = 0.00000000 | acc_sim = 0.892 | acc_phy = 0.619 
| epoch = 2 | step =    50 | loss_pnn = 1.618 | loss_cn = 0.00000000 | acc_sim = 0.894 | acc_phy = 0.624 
| epoch = 2 | step =    60 | loss_pnn = 1.614 | loss_cn = 0.00000000 | acc_sim = 0.897 | acc_phy = 0.629 
| epoch = 2 | step =    70 | loss_pnn = 1.611 | loss_cn = 0.00000000 | acc_sim = 0.899 | acc_phy = 0.631 
| epoch = 2 | step =    80 | loss_pnn = 1.608 | loss_cn = 0.00000000 | acc_sim = 0.900 | acc_phy = 0.634 
| epoch = 2 | step =    90 | loss_pnn = 1.605 | loss_cn = 0.00000000 | acc_sim = 0.902 | acc_phy = 0.637 
| epoch = 2 | step =   100 | loss_pnn = 1.602 | loss_cn = 0.00000000 | acc_sim = 0.903 | acc_phy = 0.641 
| epoch = 2 | step =   110 | loss_pnn = 1.600 | loss_cn = 0.00000000 | acc_sim = 0.904 | acc_phy = 0.644 
| epoch = 2 | step =   120 | loss_pnn = 1.598 | loss_cn = 0.00000000 | acc_sim = 0.905 | acc_phy = 0.647 

Current training epoch: 3, learning rate for pnn: 0.001, 
| epoch = 3 | step =    10 | loss_pnn = 1.564 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.682 
| epoch = 3 | step =    20 | loss_pnn = 1.567 | loss_cn = 0.00000000 | acc_sim = 0.924 | acc_phy = 0.681 
| epoch = 3 | step =    30 | loss_pnn = 1.567 | loss_cn = 0.00000000 | acc_sim = 0.922 | acc_phy = 0.674 
| epoch = 3 | step =    40 | loss_pnn = 1.567 | loss_cn = 0.00000000 | acc_sim = 0.921 | acc_phy = 0.679 
| epoch = 3 | step =    50 | loss_pnn = 1.566 | loss_cn = 0.00000000 | acc_sim = 0.922 | acc_phy = 0.679 
| epoch = 3 | step =    60 | loss_pnn = 1.564 | loss_cn = 0.00000000 | acc_sim = 0.923 | acc_phy = 0.681 
| epoch = 3 | step =    70 | loss_pnn = 1.563 | loss_cn = 0.00000000 | acc_sim = 0.923 | acc_phy = 0.681 
