Training new model from scratch......
--------------------------
Training with SEPN
--------------------------

Current training epoch: 1, learning rate for pnn: 0.001, 
| epoch = 1 | step =    10 | loss_pnn = 2.245 | loss_cn = 0.00000000 | acc_sim = 0.267 | acc_phy = 0.247 
| epoch = 1 | step =    20 | loss_pnn = 2.171 | loss_cn = 0.00000000 | acc_sim = 0.387 | acc_phy = 0.369 
| epoch = 1 | step =    30 | loss_pnn = 2.105 | loss_cn = 0.00000000 | acc_sim = 0.481 | acc_phy = 0.462 
| epoch = 1 | step =    40 | loss_pnn = 2.050 | loss_cn = 0.00000000 | acc_sim = 0.549 | acc_phy = 0.532 
| epoch = 1 | step =    50 | loss_pnn = 2.005 | loss_cn = 0.00000000 | acc_sim = 0.597 | acc_phy = 0.583 
| epoch = 1 | step =    60 | loss_pnn = 1.966 | loss_cn = 0.00000000 | acc_sim = 0.636 | acc_phy = 0.623 
| epoch = 1 | step =    70 | loss_pnn = 1.935 | loss_cn = 0.00000000 | acc_sim = 0.665 | acc_phy = 0.653 
| epoch = 1 | step =    80 | loss_pnn = 1.908 | loss_cn = 0.00000000 | acc_sim = 0.689 | acc_phy = 0.677 
| epoch = 1 | step =    90 | loss_pnn = 1.885 | loss_cn = 0.00000000 | acc_sim = 0.708 | acc_phy = 0.698 
| epoch = 1 | step =   100 | loss_pnn = 1.864 | loss_cn = 0.00000000 | acc_sim = 0.725 | acc_phy = 0.715 
| epoch = 1 | step =   110 | loss_pnn = 1.846 | loss_cn = 0.00000000 | acc_sim = 0.738 | acc_phy = 0.728 
| epoch = 1 | step =   120 | loss_pnn = 1.830 | loss_cn = 0.00000000 | acc_sim = 0.750 | acc_phy = 0.742 

Current training epoch: 2, learning rate for pnn: 0.001, 
| epoch = 2 | step =    10 | loss_pnn = 1.640 | loss_cn = 0.00000000 | acc_sim = 0.888 | acc_phy = 0.884 
| epoch = 2 | step =    20 | loss_pnn = 1.638 | loss_cn = 0.00000000 | acc_sim = 0.888 | acc_phy = 0.885 
| epoch = 2 | step =    30 | loss_pnn = 1.634 | loss_cn = 0.00000000 | acc_sim = 0.891 | acc_phy = 0.888 
| epoch = 2 | step =    40 | loss_pnn = 1.630 | loss_cn = 0.00000000 | acc_sim = 0.893 | acc_phy = 0.891 
| epoch = 2 | step =    50 | loss_pnn = 1.627 | loss_cn = 0.00000000 | acc_sim = 0.895 | acc_phy = 0.891 
| epoch = 2 | step =    60 | loss_pnn = 1.624 | loss_cn = 0.00000000 | acc_sim = 0.895 | acc_phy = 0.893 
| epoch = 2 | step =    70 | loss_pnn = 1.622 | loss_cn = 0.00000000 | acc_sim = 0.896 | acc_phy = 0.894 
| epoch = 2 | step =    80 | loss_pnn = 1.619 | loss_cn = 0.00000000 | acc_sim = 0.898 | acc_phy = 0.895 
| epoch = 2 | step =    90 | loss_pnn = 1.616 | loss_cn = 0.00000000 | acc_sim = 0.899 | acc_phy = 0.896 
| epoch = 2 | step =   100 | loss_pnn = 1.613 | loss_cn = 0.00000000 | acc_sim = 0.900 | acc_phy = 0.897 
| epoch = 2 | step =   110 | loss_pnn = 1.610 | loss_cn = 0.00000000 | acc_sim = 0.901 | acc_phy = 0.898 
| epoch = 2 | step =   120 | loss_pnn = 1.608 | loss_cn = 0.00000000 | acc_sim = 0.902 | acc_phy = 0.900 

Current training epoch: 3, learning rate for pnn: 0.001, 
| epoch = 3 | step =    10 | loss_pnn = 1.575 | loss_cn = 0.00000000 | acc_sim = 0.922 | acc_phy = 0.921 
| epoch = 3 | step =    20 | loss_pnn = 1.578 | loss_cn = 0.00000000 | acc_sim = 0.917 | acc_phy = 0.915 
| epoch = 3 | step =    30 | loss_pnn = 1.578 | loss_cn = 0.00000000 | acc_sim = 0.917 | acc_phy = 0.914 
| epoch = 3 | step =    40 | loss_pnn = 1.577 | loss_cn = 0.00000000 | acc_sim = 0.917 | acc_phy = 0.915 
| epoch = 3 | step =    50 | loss_pnn = 1.576 | loss_cn = 0.00000000 | acc_sim = 0.917 | acc_phy = 0.914 
| epoch = 3 | step =    60 | loss_pnn = 1.575 | loss_cn = 0.00000000 | acc_sim = 0.918 | acc_phy = 0.915 
| epoch = 3 | step =    70 | loss_pnn = 1.574 | loss_cn = 0.00000000 | acc_sim = 0.918 | acc_phy = 0.915 
| epoch = 3 | step =    80 | loss_pnn = 1.573 | loss_cn = 0.00000000 | acc_sim = 0.918 | acc_phy = 0.916 
| epoch = 3 | step =    90 | loss_pnn = 1.572 | loss_cn = 0.00000000 | acc_sim = 0.919 | acc_phy = 0.916 
| epoch = 3 | step =   100 | loss_pnn = 1.570 | loss_cn = 0.00000000 | acc_sim = 0.920 | acc_phy = 0.917 
| epoch = 3 | step =   110 | loss_pnn = 1.569 | loss_cn = 0.00000000 | acc_sim = 0.920 | acc_phy = 0.918 
| epoch = 3 | step =   120 | loss_pnn = 1.568 | loss_cn = 0.00000000 | acc_sim = 0.921 | acc_phy = 0.919 

Current training epoch: 4, learning rate for pnn: 0.001, 
| epoch = 4 | step =    10 | loss_pnn = 1.555 | loss_cn = 0.00000000 | acc_sim = 0.927 | acc_phy = 0.925 
| epoch = 4 | step =    20 | loss_pnn = 1.555 | loss_cn = 0.00000000 | acc_sim = 0.928 | acc_phy = 0.927 
| epoch = 4 | step =    30 | loss_pnn = 1.555 | loss_cn = 0.00000000 | acc_sim = 0.928 | acc_phy = 0.926 
| epoch = 4 | step =    40 | loss_pnn = 1.553 | loss_cn = 0.00000000 | acc_sim = 0.929 | acc_phy = 0.927 
| epoch = 4 | step =    50 | loss_pnn = 1.552 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.929 
| epoch = 4 | step =    60 | loss_pnn = 1.552 | loss_cn = 0.00000000 | acc_sim = 0.930 | acc_phy = 0.928 
| epoch = 4 | step =    70 | loss_pnn = 1.551 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.928 
| epoch = 4 | step =    80 | loss_pnn = 1.551 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.928 
| epoch = 4 | step =    90 | loss_pnn = 1.551 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.929 
| epoch = 4 | step =   100 | loss_pnn = 1.551 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.928 
| epoch = 4 | step =   110 | loss_pnn = 1.550 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.928 
| epoch = 4 | step =   120 | loss_pnn = 1.550 | loss_cn = 0.00000000 | acc_sim = 0.931 | acc_phy = 0.928 

Current training epoch: 5, learning rate for pnn: 0.001, 
| epoch = 5 | step =    10 | loss_pnn = 1.537 | loss_cn = 0.00000000 | acc_sim = 0.944 | acc_phy = 0.940 
| epoch = 5 | step =    20 | loss_pnn = 1.539 | loss_cn = 0.00000000 | acc_sim = 0.941 | acc_phy = 0.937 
| epoch = 5 | step =    30 | loss_pnn = 1.540 | loss_cn = 0.00000000 | acc_sim = 0.939 | acc_phy = 0.936 
| epoch = 5 | step =    40 | loss_pnn = 1.541 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.934 
| epoch = 5 | step =    50 | loss_pnn = 1.541 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.934 
| epoch = 5 | step =    60 | loss_pnn = 1.540 | loss_cn = 0.00000000 | acc_sim = 0.939 | acc_phy = 0.935 
| epoch = 5 | step =    70 | loss_pnn = 1.540 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.935 
| epoch = 5 | step =    80 | loss_pnn = 1.540 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.935 
| epoch = 5 | step =    90 | loss_pnn = 1.540 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.935 
| epoch = 5 | step =   100 | loss_pnn = 1.540 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.935 
| epoch = 5 | step =   110 | loss_pnn = 1.539 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.935 
| epoch = 5 | step =   120 | loss_pnn = 1.539 | loss_cn = 0.00000000 | acc_sim = 0.938 | acc_phy = 0.935 

Current training epoch: 6, learning rate for pnn: 0.001, 
| epoch = 6 | step =    10 | loss_pnn = 1.532 | loss_cn = 0.00000000 | acc_sim = 0.944 | acc_phy = 0.943 
| epoch = 6 | step =    20 | loss_pnn = 1.531 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 6 | step =    30 | loss_pnn = 1.534 | loss_cn = 0.00000000 | acc_sim = 0.943 | acc_phy = 0.940 
| epoch = 6 | step =    40 | loss_pnn = 1.534 | loss_cn = 0.00000000 | acc_sim = 0.943 | acc_phy = 0.940 
| epoch = 6 | step =    50 | loss_pnn = 1.534 | loss_cn = 0.00000000 | acc_sim = 0.943 | acc_phy = 0.940 
| epoch = 6 | step =    60 | loss_pnn = 1.533 | loss_cn = 0.00000000 | acc_sim = 0.943 | acc_phy = 0.940 
| epoch = 6 | step =    70 | loss_pnn = 1.534 | loss_cn = 0.00000000 | acc_sim = 0.942 | acc_phy = 0.940 
| epoch = 6 | step =    80 | loss_pnn = 1.534 | loss_cn = 0.00000000 | acc_sim = 0.942 | acc_phy = 0.940 
| epoch = 6 | step =    90 | loss_pnn = 1.533 | loss_cn = 0.00000000 | acc_sim = 0.942 | acc_phy = 0.940 
| epoch = 6 | step =   100 | loss_pnn = 1.533 | loss_cn = 0.00000000 | acc_sim = 0.942 | acc_phy = 0.940 
| epoch = 6 | step =   110 | loss_pnn = 1.533 | loss_cn = 0.00000000 | acc_sim = 0.943 | acc_phy = 0.941 
| epoch = 6 | step =   120 | loss_pnn = 1.532 | loss_cn = 0.00000000 | acc_sim = 0.943 | acc_phy = 0.940 

Current training epoch: 7, learning rate for pnn: 0.001, 
| epoch = 7 | step =    10 | loss_pnn = 1.529 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 7 | step =    20 | loss_pnn = 1.528 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.944 
| epoch = 7 | step =    30 | loss_pnn = 1.529 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 7 | step =    40 | loss_pnn = 1.529 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 7 | step =    50 | loss_pnn = 1.529 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.942 
| epoch = 7 | step =    60 | loss_pnn = 1.529 | loss_cn = 0.00000000 | acc_sim = 0.945 | acc_phy = 0.943 
| epoch = 7 | step =    70 | loss_pnn = 1.528 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 7 | step =    80 | loss_pnn = 1.528 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 7 | step =    90 | loss_pnn = 1.528 | loss_cn = 0.00000000 | acc_sim = 0.945 | acc_phy = 0.943 
| epoch = 7 | step =   100 | loss_pnn = 1.528 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 7 | step =   110 | loss_pnn = 1.528 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 7 | step =   120 | loss_pnn = 1.528 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 

Current training epoch: 8, learning rate for pnn: 0.001, 
| epoch = 8 | step =    10 | loss_pnn = 1.525 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.949 
| epoch = 8 | step =    20 | loss_pnn = 1.525 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.948 
| epoch = 8 | step =    30 | loss_pnn = 1.525 | loss_cn = 0.00000000 | acc_sim = 0.949 | acc_phy = 0.947 
| epoch = 8 | step =    40 | loss_pnn = 1.526 | loss_cn = 0.00000000 | acc_sim = 0.949 | acc_phy = 0.946 
| epoch = 8 | step =    50 | loss_pnn = 1.525 | loss_cn = 0.00000000 | acc_sim = 0.949 | acc_phy = 0.946 
| epoch = 8 | step =    60 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.946 
| epoch = 8 | step =    70 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.946 
| epoch = 8 | step =    80 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.947 
| epoch = 8 | step =    90 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.947 
| epoch = 8 | step =   100 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.947 
| epoch = 8 | step =   110 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.947 
| epoch = 8 | step =   120 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.947 

Current training epoch: 9, learning rate for pnn: 0.001, 
| epoch = 9 | step =    10 | loss_pnn = 1.525 | loss_cn = 0.00000000 | acc_sim = 0.949 | acc_phy = 0.947 
| epoch = 9 | step =    20 | loss_pnn = 1.526 | loss_cn = 0.00000000 | acc_sim = 0.946 | acc_phy = 0.943 
| epoch = 9 | step =    30 | loss_pnn = 1.524 | loss_cn = 0.00000000 | acc_sim = 0.949 | acc_phy = 0.945 
| epoch = 9 | step =    40 | loss_pnn = 1.523 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.946 
| epoch = 9 | step =    50 | loss_pnn = 1.522 | loss_cn = 0.00000000 | acc_sim = 0.951 | acc_phy = 0.948 
| epoch = 9 | step =    60 | loss_pnn = 1.522 | loss_cn = 0.00000000 | acc_sim = 0.950 | acc_phy = 0.947 
| epoch = 9 | step =    70 | loss_pnn = 1.522 | loss_cn = 0.00000000 | acc_sim = 0.951 | acc_phy = 0.948 
| epoch = 9 | step =    80 | loss_pnn = 1.522 | loss_cn = 0.00000000 | acc_sim = 0.951 | acc_phy = 0.948 
| epoch = 9 | step =    90 | loss_pnn = 1.522 | loss_cn = 0.00000000 | acc_sim = 0.951 | acc_phy = 0.948 
| epoch = 9 | step =   100 | loss_pnn = 1.521 | loss_cn = 0.00000000 | acc_sim = 0.951 | acc_phy = 0.949 
| epoch = 9 | step =   110 | loss_pnn = 1.521 | loss_cn = 0.00000000 | acc_sim = 0.952 | acc_phy = 0.949 
| epoch = 9 | step =   120 | loss_pnn = 1.521 | loss_cn = 0.00000000 | acc_sim = 0.951 | acc_phy = 0.949 

Current training epoch: 10, learning rate for pnn: 0.001, 
| epoch = 10 | step =    10 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.955 | acc_phy = 0.952 
| epoch = 10 | step =    20 | loss_pnn = 1.519 | loss_cn = 0.00000000 | acc_sim = 0.954 | acc_phy = 0.950 
| epoch = 10 | step =    30 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.954 | acc_phy = 0.951 
| epoch = 10 | step =    40 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.955 | acc_phy = 0.951 
| epoch = 10 | step =    50 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.955 | acc_phy = 0.952 
| epoch = 10 | step =    60 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.954 | acc_phy = 0.951 
| epoch = 10 | step =    70 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.954 | acc_phy = 0.952 
| epoch = 10 | step =    80 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.954 | acc_phy = 0.951 
| epoch = 10 | step =    90 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.953 | acc_phy = 0.950 
| epoch = 10 | step =   100 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.953 | acc_phy = 0.951 
| epoch = 10 | step =   110 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.954 | acc_phy = 0.951 
| epoch = 10 | step =   120 | loss_pnn = 1.518 | loss_cn = 0.00000000 | acc_sim = 0.954 | acc_phy = 0.951 

Current training epoch: 11, learning rate for pnn: 0.0005, 
| epoch = 11 | step =    10 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.959 | acc_phy = 0.955 
| epoch = 11 | step =    20 | loss_pnn = 1.516 | loss_cn = 0.00000000 | acc_sim = 0.958 | acc_phy = 0.954 
| epoch = 11 | step =    30 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.959 | acc_phy = 0.955 
| epoch = 11 | step =    40 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.959 | acc_phy = 0.955 
| epoch = 11 | step =    50 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.959 | acc_phy = 0.955 
| epoch = 11 | step =    60 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.958 | acc_phy = 0.956 
| epoch = 11 | step =    70 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.958 | acc_phy = 0.955 
| epoch = 11 | step =    80 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.958 | acc_phy = 0.955 
| epoch = 11 | step =    90 | loss_pnn = 1.515 | loss_cn = 0.00000000 | acc_sim = 0.957 | acc_phy = 0.955 
| epoch = 11 | step =   100 | loss_pnn = 1.516 | loss_cn = 0.00000000 | acc_sim = 0.957 | acc_phy = 0.954 
| epoch = 11 | step =   110 | loss_pnn = 1.516 | loss_cn = 0.00000000 | acc_sim = 0.957 | acc_phy = 0.954 
| epoch = 11 | step =   120 | loss_pnn = 1.516 | loss_cn = 0.00000000 | acc_sim = 0.957 | acc_phy = 0.954 

Current training epoch: 12, learning rate for pnn: 0.0005, 
| epoch = 12 | step =    10 | loss_pnn = 1.512 | loss_cn = 0.00000000 | acc_sim = 0.962 | acc_phy = 0.959 
| epoch = 12 | step =    20 | loss_pnn = 1.512 | loss_cn = 0.00000000 | acc_sim = 0.963 | acc_phy = 0.960 
| epoch = 12 | step =    30 | loss_pnn = 1.513 | loss_cn = 0.00000000 | acc_sim = 0.960 | acc_phy = 0.957 
| epoch = 12 | step =    40 | loss_pnn = 1.514 | loss_cn = 0.00000000 | acc_sim = 0.959 | acc_phy = 0.956 
| epoch = 12 | step =    50 | loss_pnn = 1.514 | loss_cn = 0.00000000 | acc_sim = 0.959 | acc_phy = 0.955 
