Training new model from scratch......
--------------------------
Training with SEPN
--------------------------

Current training epoch: 1, learning rate for pnn: 0.001, 
| epoch = 1 | step =    10 | loss_pnn = 2.292 | loss_cn = 0.00000000 | acc_sim = 0.209 | acc_phy = 0.132 
| epoch = 1 | step =    20 | loss_pnn = 2.278 | loss_cn = 0.00000000 | acc_sim = 0.374 | acc_phy = 0.172 
| epoch = 1 | step =    30 | loss_pnn = 2.259 | loss_cn = 0.00000000 | acc_sim = 0.467 | acc_phy = 0.223 
| epoch = 1 | step =    40 | loss_pnn = 2.239 | loss_cn = 0.00000000 | acc_sim = 0.529 | acc_phy = 0.269 
| epoch = 1 | step =    50 | loss_pnn = 2.221 | loss_cn = 0.00000000 | acc_sim = 0.576 | acc_phy = 0.308 
| epoch = 1 | step =    60 | loss_pnn = 2.203 | loss_cn = 0.00000000 | acc_sim = 0.609 | acc_phy = 0.342 
| epoch = 1 | step =    70 | loss_pnn = 2.186 | loss_cn = 0.00000000 | acc_sim = 0.640 | acc_phy = 0.373 
| epoch = 1 | step =    80 | loss_pnn = 2.172 | loss_cn = 0.00000000 | acc_sim = 0.666 | acc_phy = 0.399 
| epoch = 1 | step =    90 | loss_pnn = 2.158 | loss_cn = 0.00000000 | acc_sim = 0.688 | acc_phy = 0.424 
| epoch = 1 | step =   100 | loss_pnn = 2.145 | loss_cn = 0.00000000 | acc_sim = 0.707 | acc_phy = 0.445 
| epoch = 1 | step =   110 | loss_pnn = 2.135 | loss_cn = 0.00000000 | acc_sim = 0.721 | acc_phy = 0.461 
| epoch = 1 | step =   120 | loss_pnn = 2.124 | loss_cn = 0.00000000 | acc_sim = 0.735 | acc_phy = 0.479 

Current training epoch: 2, learning rate for pnn: 0.001, 
| epoch = 2 | step =    10 | loss_pnn = 1.993 | loss_cn = 0.00000000 | acc_sim = 0.882 | acc_phy = 0.689 
| epoch = 2 | step =    20 | loss_pnn = 1.989 | loss_cn = 0.00000000 | acc_sim = 0.890 | acc_phy = 0.688 
| epoch = 2 | step =    30 | loss_pnn = 1.984 | loss_cn = 0.00000000 | acc_sim = 0.892 | acc_phy = 0.691 
| epoch = 2 | step =    40 | loss_pnn = 1.981 | loss_cn = 0.00000000 | acc_sim = 0.892 | acc_phy = 0.690 
| epoch = 2 | step =    50 | loss_pnn = 1.978 | loss_cn = 0.00000000 | acc_sim = 0.893 | acc_phy = 0.693 
| epoch = 2 | step =    60 | loss_pnn = 1.974 | loss_cn = 0.00000000 | acc_sim = 0.895 | acc_phy = 0.695 
| epoch = 2 | step =    70 | loss_pnn = 1.967 | loss_cn = 0.00000000 | acc_sim = 0.897 | acc_phy = 0.702 
| epoch = 2 | step =    80 | loss_pnn = 1.964 | loss_cn = 0.00000000 | acc_sim = 0.899 | acc_phy = 0.705 
| epoch = 2 | step =    90 | loss_pnn = 1.959 | loss_cn = 0.00000000 | acc_sim = 0.900 | acc_phy = 0.708 
| epoch = 2 | step =   100 | loss_pnn = 1.956 | loss_cn = 0.00000000 | acc_sim = 0.901 | acc_phy = 0.710 
| epoch = 2 | step =   110 | loss_pnn = 1.954 | loss_cn = 0.00000000 | acc_sim = 0.902 | acc_phy = 0.712 
| epoch = 2 | step =   120 | loss_pnn = 1.950 | loss_cn = 0.00000000 | acc_sim = 0.903 | acc_phy = 0.715 

Current training epoch: 3, learning rate for pnn: 0.001, 
| epoch = 3 | step =    10 | loss_pnn = 1.914 | loss_cn = 0.00000000 | acc_sim = 0.918 | acc_phy = 0.729 
| epoch = 3 | step =    20 | loss_pnn = 1.915 | loss_cn = 0.00000000 | acc_sim = 0.921 | acc_phy = 0.733 
| epoch = 3 | step =    30 | loss_pnn = 1.914 | loss_cn = 0.00000000 | acc_sim = 0.920 | acc_phy = 0.735 
| epoch = 3 | step =    40 | loss_pnn = 1.911 | loss_cn = 0.00000000 | acc_sim = 0.921 | acc_phy = 0.736 
| epoch = 3 | step =    50 | loss_pnn = 1.906 | loss_cn = 0.00000000 | acc_sim = 0.922 | acc_phy = 0.740 
| epoch = 3 | step =    60 | loss_pnn = 1.904 | loss_cn = 0.00000000 | acc_sim = 0.921 | acc_phy = 0.739 
| epoch = 3 | step =    70 | loss_pnn = 1.902 | loss_cn = 0.00000000 | acc_sim = 0.922 | acc_phy = 0.740 
