Training new model from scratch......
--------------------------
Training with SEPN
--------------------------

Current training epoch: 1, learning rate for pnn: 0.001, learning rate for SEPN: 0.001
| epoch = 1 | step =    10 | loss_pnn = 2.307 | loss_cn = 0.00886592 | acc_sim = 0.173 | acc_phy = 0.099 
| epoch = 1 | step =    20 | loss_pnn = 2.299 | loss_cn = 0.00865625 | acc_sim = 0.194 | acc_phy = 0.126 
| epoch = 1 | step =    30 | loss_pnn = 2.290 | loss_cn = 0.00845727 | acc_sim = 0.183 | acc_phy = 0.136 
| epoch = 1 | step =    40 | loss_pnn = 2.282 | loss_cn = 0.00824508 | acc_sim = 0.171 | acc_phy = 0.143 
| epoch = 1 | step =    50 | loss_pnn = 2.276 | loss_cn = 0.00805040 | acc_sim = 0.162 | acc_phy = 0.148 
| epoch = 1 | step =    60 | loss_pnn = 2.270 | loss_cn = 0.00790171 | acc_sim = 0.158 | acc_phy = 0.153 
| epoch = 1 | step =    70 | loss_pnn = 2.266 | loss_cn = 0.00771307 | acc_sim = 0.163 | acc_phy = 0.159 
| epoch = 1 | step =    80 | loss_pnn = 2.261 | loss_cn = 0.00752731 | acc_sim = 0.175 | acc_phy = 0.168 
| epoch = 1 | step =    90 | loss_pnn = 2.257 | loss_cn = 0.00741806 | acc_sim = 0.191 | acc_phy = 0.179 
| epoch = 1 | step =   100 | loss_pnn = 2.251 | loss_cn = 0.00730806 | acc_sim = 0.211 | acc_phy = 0.193 
| epoch = 1 | step =   110 | loss_pnn = 2.244 | loss_cn = 0.00722492 | acc_sim = 0.228 | acc_phy = 0.208 
| epoch = 1 | step =   120 | loss_pnn = 2.238 | loss_cn = 0.00718322 | acc_sim = 0.242 | acc_phy = 0.220 

Current training epoch: 2, learning rate for pnn: 0.001, learning rate for SEPN: 0.001
| epoch = 2 | step =    10 | loss_pnn = 2.148 | loss_cn = 0.00620198 | acc_sim = 0.404 | acc_phy = 0.368 
| epoch = 2 | step =    20 | loss_pnn = 2.145 | loss_cn = 0.00598339 | acc_sim = 0.395 | acc_phy = 0.366 
| epoch = 2 | step =    30 | loss_pnn = 2.136 | loss_cn = 0.00569070 | acc_sim = 0.400 | acc_phy = 0.372 
| epoch = 2 | step =    40 | loss_pnn = 2.127 | loss_cn = 0.00550719 | acc_sim = 0.409 | acc_phy = 0.380 
| epoch = 2 | step =    50 | loss_pnn = 2.119 | loss_cn = 0.00542067 | acc_sim = 0.416 | acc_phy = 0.387 
| epoch = 2 | step =    60 | loss_pnn = 2.108 | loss_cn = 0.00534992 | acc_sim = 0.428 | acc_phy = 0.398 
| epoch = 2 | step =    70 | loss_pnn = 2.098 | loss_cn = 0.00528309 | acc_sim = 0.437 | acc_phy = 0.408 
| epoch = 2 | step =    80 | loss_pnn = 2.087 | loss_cn = 0.00518885 | acc_sim = 0.448 | acc_phy = 0.419 
| epoch = 2 | step =    90 | loss_pnn = 2.077 | loss_cn = 0.00513597 | acc_sim = 0.455 | acc_phy = 0.427 
| epoch = 2 | step =   100 | loss_pnn = 2.067 | loss_cn = 0.00511279 | acc_sim = 0.465 | acc_phy = 0.437 
| epoch = 2 | step =   110 | loss_pnn = 2.058 | loss_cn = 0.00509020 | acc_sim = 0.477 | acc_phy = 0.447 
| epoch = 2 | step =   120 | loss_pnn = 2.049 | loss_cn = 0.00507417 | acc_sim = 0.488 | acc_phy = 0.456 

Current training epoch: 3, learning rate for pnn: 0.001, learning rate for SEPN: 0.001
| epoch = 3 | step =    10 | loss_pnn = 1.943 | loss_cn = 0.00504458 | acc_sim = 0.616 | acc_phy = 0.574 
| epoch = 3 | step =    20 | loss_pnn = 1.934 | loss_cn = 0.00507004 | acc_sim = 0.624 | acc_phy = 0.584 
| epoch = 3 | step =    30 | loss_pnn = 1.927 | loss_cn = 0.00506640 | acc_sim = 0.627 | acc_phy = 0.591 
| epoch = 3 | step =    40 | loss_pnn = 1.916 | loss_cn = 0.00499530 | acc_sim = 0.635 | acc_phy = 0.601 
| epoch = 3 | step =    50 | loss_pnn = 1.904 | loss_cn = 0.00494352 | acc_sim = 0.647 | acc_phy = 0.612 
| epoch = 3 | step =    60 | loss_pnn = 1.888 | loss_cn = 0.00482696 | acc_sim = 0.665 | acc_phy = 0.630 
| epoch = 3 | step =    70 | loss_pnn = 1.877 | loss_cn = 0.00475662 | acc_sim = 0.677 | acc_phy = 0.641 
